date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:32:49	1799/1799	---MCZ	200	added ('OK')	text/plain	etag:W/%222c13-6125e804b4ee7%22	https://www.dominos.co.in/robots.txt		(from )
10:32:49	105005/105005	---M-Z	200	added ('OK')	text/html	date:Tue,%2027%20Feb%202024%2015:15:48%20GMT	https://www.dominos.co.in/	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/mansoor/www.dominos.co.in/index.html	(from )
10:32:49	497/497	---M--	200	added ('OK')	application/json	etag:%221f1-6125e804a8b97%22	https://www.dominos.co.in/notifyvisitors_push/chrome/manifest.json	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/mansoor/www.dominos.co.in/notifyvisitors_push/chrome/manifest.json	(from https://www.dominos.co.in/)
10:32:50	1569/1569	---M--	200	added ('OK')	text/javascript	date:Fri,%2030%20Jun%202023%2018:58:00%20GMT	https://www.google-analytics.com/plugins/ua/linkid.js	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/mansoor/www.google-analytics.com/plugins/ua/linkid.js	(from https://www.dominos.co.in/)
10:32:51	230354/230354	---M-Z	200	added ('OK')	application/x-javascript	date:Wed,%2007%20Aug%202024%2005:02:53%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/mansoor/connect.facebook.net/en_US/fbevents.js	(from https://www.dominos.co.in/)
10:32:51	46475/46475	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a65c1296ae61e285964d37221722a736%22	https://d2r1yp2w7bby2u.cloudfront.net/js/a.js	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/mansoor/d2r1yp2w7bby2u.cloudfront.net/js/a.js	(from https://www.dominos.co.in/)
10:32:53	49706/49706	---M-Z	200	added ('OK')	application/javascript	etag:%22044982565d5da1:0%22	http://bat.bing.com/bat.js	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/mansoor/bat.bing.com/bat.js	(from https://www.dominos.co.in/)
10:32:55	3529/3529	---MCZ	200	added ('OK')	application/javascript	etag:W/%226148804e-dc9%22	http://cdn.notifyvisitors.com/js/notify-visitors-1.0.js	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/mansoor/cdn.notifyvisitors.com/js/notify-visitors-1.0.js	(from https://www.dominos.co.in/)
10:32:55	250/250	---M--	302	error ('Found')	text/html	date:Wed,%2007%20Aug%202024%2005:02:58%20GMT	http://www.googletagmanager.com/gtm.js?id=GTM-MW6ZCB	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/mansoor/www.googletagmanager.com/gtm.91b1d.delayed	(from https://www.dominos.co.in/)
10:32:56	57671/57671	---M-Z	200	added ('OK')	application/javascript	etag:%22bbbcf811d8437a575d796a4c1e5d4fad+gzip+gzip%22	http://static.ads-twitter.com/uwt.js	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/mansoor/static.ads-twitter.com/uwt.js	(from https://www.dominos.co.in/)
10:32:57	52916/52916	---MC-	200	added ('OK')	text/javascript	date:Tue,%2012%20Dec%202023%2018:09:08%20GMT	https://www.google-analytics.com/analytics.js	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/mansoor/www.google-analytics.com/analytics.js	(from https://www.dominos.co.in/)
10:32:58	54600/54600	---M--	200	added ('OK')	text/javascript	etag:10320406913158679654	http://www.googleadservices.com/pagead/conversion_async.js	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/mansoor/www.googleadservices.com/pagead/f.txt	(from https://www.dominos.co.in/)
10:33:00	2005/2005	---M-Z	200	added ('OK')	text/css	etag:%225eb03ffd-7d5%22	https://cdnjs.cloudflare.com/ajax/libs/tiny-slider/2.8.2/tiny-slider.css	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/mansoor/cdnjs.cloudflare.com/ajax/libs/tiny-slider/2.8.2/tiny-slider.css	(from https://www.dominos.co.in/)
10:33:01	28824/28824	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ffd-7098%22	https://cdnjs.cloudflare.com/ajax/libs/tiny-slider/2.8.2/min/tiny-slider.js	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/mansoor/cdnjs.cloudflare.com/ajax/libs/tiny-slider/2.8.2/min/tiny-slider.js	(from https://www.dominos.co.in/)
10:33:01	82023/82023	---M-Z	200	added ('OK')	text/css	etag:%2261498362-4221%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.0.0-beta2/css/all.min.css	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/mansoor/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.0.0-beta2/css/all.min.css	(from https://www.dominos.co.in/)
10:33:01	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2007%20Aug%202024%2005:03:04%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/mansoor/www.googletagmanager.com/gtm.e5445.delayed	(from https://www.dominos.co.in/)
10:33:02	506775/506775	---MC-	200	added ('OK')	application/javascript	date:Wed,%2007%20Aug%202024%2003:00:00%20GMT	https://www.googletagmanager.com/gtm.js?id=GTM-MW6ZCB	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/mansoor/www.googletagmanager.com/gtm1b1d.js	(from https://www.dominos.co.in/)
10:33:03	18637/18637	---MCZ	200	added ('OK')	text/css	etag:W/%2248cd-6125e804b4ee7%22	https://www.dominos.co.in/styles/style1.css	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/mansoor/www.dominos.co.in/styles/style1.css	(from https://www.dominos.co.in/)
10:33:04	89501/89501	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-15d9d%22	https://code.jquery.com/jquery-3.6.0.min.js	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/mansoor/code.jquery.com/jquery-3.6.0.min.js	(from https://www.dominos.co.in/)
10:33:04	529062/529062	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-812a6%22	https://code.jquery.com/ui/1.13.1/jquery-ui.js	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/mansoor/code.jquery.com/ui/1.13.1/jquery-ui.js	(from https://www.dominos.co.in/)
10:33:04	607/607	---M--	200	added ('OK')	image/png	etag:%2225f-6125e8049ef57%22	https://www.dominos.co.in/assets/Close.png	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/mansoor/www.dominos.co.in/assets/Close.png	(from https://www.dominos.co.in/)
10:33:05	6242/6242	---M--	200	added ('OK')	image/png	etag:%221862-6125e8049ef57%22	https://www.dominos.co.in/assets/Logo.png	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/mansoor/www.dominos.co.in/assets/Logo.png	(from https://www.dominos.co.in/)
10:33:05	113686/113686	---M-Z	200	added ('OK')	text/html	date:Tue,%2027%20Feb%202024%2015:15:48%20GMT	https://www.dominos.co.in/menu	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/mansoor/www.dominos.co.in/menu.html	(from https://www.dominos.co.in/)
10:33:05	127664/127664	---M-Z	200	added ('OK')	text/html	date:Tue,%2027%20Feb%202024%2015:15:48%20GMT	https://www.dominos.co.in/gift-vouchers	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/mansoor/www.dominos.co.in/gift-vouchers.html	(from https://www.dominos.co.in/)
10:33:06	106524/106524	---M-Z	200	added ('OK')	text/html	date:Tue,%2027%20Feb%202024%2015:15:48%20GMT	https://www.dominos.co.in/virtual-pizza-party	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/mansoor/www.dominos.co.in/virtual-pizza-party.html	(from https://www.dominos.co.in/)
10:33:06	34485/34485	---MC-	500	error ('Internal%20Server%20Error')	text/html	date:Wed,%2007%20Aug%202024%2005:03:09%20GMT	https://www.dominos.co.in/store-locations/	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/mansoor/www.dominos.co.in/store-locations/index.html	(from https://www.dominos.co.in/)
10:33:06	139009/139009	---M-Z	200	added ('OK')	text/html	date:Tue,%2027%20Feb%202024%2015:15:48%20GMT	https://www.dominos.co.in/contact	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/mansoor/www.dominos.co.in/contact.html	(from https://www.dominos.co.in/)
10:33:06	1002/1002	---M--	200	added ('OK')	image/png	etag:%223ea-6125e8049ef57%22	https://www.dominos.co.in/assets/Home.png	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/mansoor/www.dominos.co.in/assets/Home.png	(from https://www.dominos.co.in/)
10:33:06	840/840	---M--	200	added ('OK')	image/png	etag:%22348-6125e804a6487%22	https://www.dominos.co.in/assets/side_menu.png	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/mansoor/www.dominos.co.in/assets/side_menu.png	(from https://www.dominos.co.in/)
10:33:07	896/896	---M--	200	added ('OK')	image/png	etag:%22380-6125e8049ef57%22	https://www.dominos.co.in/assets/Gift_Card.png	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/mansoor/www.dominos.co.in/assets/Gift_Card.png	(from https://www.dominos.co.in/)
10:33:07	248/248	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2007%20Aug%202024%2005:03:10%20GMT	https://www.dominos.co.in/store-location	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/mansoor/www.dominos.co.in/store-location	(from https://www.dominos.co.in/)
10:33:08	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2007%20Aug%202024%2005:03:10%20GMT	http://www.dominos.co.in/store-location/	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/mansoor/www.dominos.co.in/store-location/index.html	(from https://www.dominos.co.in/)
10:33:08	1211/1211	---M--	200	added ('OK')	image/png	etag:%224bb-6125e804a3d77%22	https://www.dominos.co.in/assets/Store_Finder.png	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/mansoor/www.dominos.co.in/assets/Store_Finder.png	(from https://www.dominos.co.in/)
10:33:08	144487/144487	---M-Z	200	added ('OK')	text/html	date:Tue,%2027%20Feb%202024%2015:15:48%20GMT	https://www.dominos.co.in/bday-party	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/mansoor/www.dominos.co.in/bday-party.html	(from https://www.dominos.co.in/)
10:33:08	1042/1042	---M--	200	added ('OK')	image/png	etag:%22412-6125e8049ef57%22	https://www.dominos.co.in/assets/Birthday_party.png	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/mansoor/www.dominos.co.in/assets/Birthday_party.png	(from https://www.dominos.co.in/)
10:33:09	95547/95547	---M-Z	200	added ('OK')	text/html	date:Tue,%2027%20Feb%202024%2015:15:48%20GMT	https://www.dominos.co.in/wedding	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/mansoor/www.dominos.co.in/wedding.html	(from https://www.dominos.co.in/)
10:33:09	1424/1424	---M--	200	added ('OK')	image/png	etag:%22590-6125e8049ef57%22	https://www.dominos.co.in/assets/Coporate_orders.png	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/mansoor/www.dominos.co.in/assets/Coporate_orders.png	(from https://www.dominos.co.in/)
10:33:09	238/238	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2007%20Aug%202024%2005:03:12%20GMT	https://www.dominos.co.in/blog	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/mansoor/www.dominos.co.in/blog	(from https://www.dominos.co.in/)
10:33:09	1059/1059	---M--	200	added ('OK')	image/png	etag:%22423-6125e8049ef57%22	https://www.dominos.co.in/assets/Blog.png	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/mansoor/www.dominos.co.in/assets/Blog.png	(from https://www.dominos.co.in/)
10:33:10	1584/1584	---M--	200	added ('OK')	image/png	etag:%22630-6125e8049ef57%22	https://www.dominos.co.in/assets/Investor.png	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/mansoor/www.dominos.co.in/assets/Investor.png	(from https://www.dominos.co.in/)
10:33:10	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2007%20Aug%202024%2005:03:12%20GMT	http://www.dominos.co.in/blog/	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/mansoor/www.dominos.co.in/blog/index.html	(from https://www.dominos.co.in/)
10:33:10	287666/287666	---M-Z	200	added ('OK')	text/html	date:Tue,%2027%20Feb%202024%2015:15:48%20GMT	https://www.dominos.co.in/feedback	C:/Users/dayan/Downloads/jeeva%20and%20mansoor/mansoor/www.dominos.co.in/feedback.html	(from https://www.dominos.co.in/)
